course,course_name,short_description,long_description
ARABIC BA - Intermediate Arabic I,ARABIC BA , Intermediate Arabic I,"Description:  A thorough review and continuation of literary (classic and modern) Arabic grammar with emphasis on reading, writing, speaking and listening comprehension. Course materials draw from both classical and modern Arabic literature and culture. Required textbook: Al-Kitaab fii Ta'allum al-Arabiyya, Part II with DVDs, 2nd edition."
ARABIC BA - Intermediate Arabic I,ARABIC BA , Intermediate Arabic I,"Description:  A thorough review and continuation of literary (classic and modern) Arabic grammar with emphasis on reading, writing, speaking and listening comprehension. Course materials draw from both classical and modern Arabic literature and culture. Required textbook: Al-Kitaab fii Ta'allum al-Arabiyya, Part II with DVDs, 2nd edition."
ARAMAIC A - Introduction to Aramaic,ARAMAIC A , Introduction to Aramaic,Description:  Please email nelc@fas.harvard.edu for course details.
ARMEN BA - Intermediate Modern Armenian I,ARMEN BA , Intermediate Modern Armenian I,Description:  Students must complete the second term of this course within the same academic year to receive credit for this course.
ASTRON 17 - Galactic and Extragalactic Astronomy,ASTRON 17 , Galactic and Extragalactic Astronomy,"Description:  This course provides an introduction to the physical principles describing galaxies and the composition and evolution of the Universe. Topics include the interstellar medium; star clusters; the structure and dynamics of the Milky Way; other galaxies; clusters of galaxies; active galaxies and quasars; cosmology; and the early universe. This course includes an observational component: In addition to observing galaxies with the Science Center Clay Telescope, students will use the millimeter-wavelength telescope at the Harvard-Smithsonian Center for Astrophysics to measure the rotation velocity of the Milky Way galaxy and to determine its mass."
ASTRON 2 - Celestial Navigation,ASTRON 2 , Celestial Navigation,"Description:  Never be lost again! Find your way on sea, land, or air by employing celestial and terrestrial techniques. Acquire expertise in using navigators' tools (sextant, compass, and charts) while learning the steps to the celestial dance of the sun, moon, stars, and planets. This 108-year-old course continues to rely on practical skills and collaborative problem-solving, while utilizing historical artifacts (instruments, maps, captains' logs) and student-built devices. Culminating in a day-long cruise to practice navigation skills."
ASTRON 200 - Radiative Processes in Astrophysics,ASTRON 200 , Radiative Processes in Astrophysics,"Description:  This course offers a survey of radiative processes of astrophysical importance from radio waves to gamma rays. Topics include thermal and non-thermal processes, including bremsstrahlung, synchrotron radiation, and Compton scattering; radiation in plasmas; aspects of atomic and molecular spectra."
ASTRON 201 - Stellar Astrophysics,ASTRON 201 , Stellar Astrophysics,"Description:  Stars are the basic building blocks of the universe, and they are responsible for the production of most elements via nucleosynthesis. This course covers the energy generation and transport in stars, stellar atmospheres and radiative transfer, stellar evolution, and asteroseismology. The Sun and its heliosphere are also studied as the closest and best-studied examples of a star and its circumstellar plasma. This course also provides a brief survey of planetary astrophysics, including the dominant processes acting in the interiors and atmospheres of planets in our own solar system and in others."
ASTRON 300 - Topics in Modern Astrophysics,ASTRON 300 , Topics in Modern Astrophysics,"Description:  A seminar, reading, or research course may be arranged with any of the faculty listed. Students can also arrange to obtain Astronomy 300 credit for reading or research with scientific staff members of the Harvard-Smithsonian Center for Astrophysics; consult Astronomy Department office."
ASTRON 300 - Topics in Modern Astrophysics,ASTRON 300 , Topics in Modern Astrophysics,"Description:  A seminar, reading, or research course may be arranged with any of the faculty listed. Students can also arrange to obtain Astronomy 300 credit for reading or research with scientific staff members of the Harvard-Smithsonian Center for Astrophysics; consult Astronomy Department office."
ASTRON 300 - Topics in Modern Astrophysics,ASTRON 300 , Topics in Modern Astrophysics,"Description:  A seminar, reading, or research course may be arranged with any of the faculty listed. Students can also arrange to obtain Astronomy 300 credit for reading or research with scientific staff members of the Harvard-Smithsonian Center for Astrophysics; consult Astronomy Department office."
ASTRON 300 - Topics in Modern Astrophysics,ASTRON 300 , Topics in Modern Astrophysics,"Description:  A seminar, reading, or research course may be arranged with any of the faculty listed. Students can also arrange to obtain Astronomy 300 credit for reading or research with scientific staff members of the Harvard-Smithsonian Center for Astrophysics; consult Astronomy Department office."
ASTRON 300 - Topics in Modern Astrophysics,ASTRON 300 , Topics in Modern Astrophysics,"Description:  A seminar, reading, or research course may be arranged with any of the faculty listed. Students can also arrange to obtain Astronomy 300 credit for reading or research with scientific staff members of the Harvard-Smithsonian Center for Astrophysics; consult Astronomy Department office."
ASTRON 300 - Topics in Modern Astrophysics,ASTRON 300 , Topics in Modern Astrophysics,"Description:  A seminar, reading, or research course may be arranged with any of the faculty listed. Students can also arrange to obtain Astronomy 300 credit for reading or research with scientific staff members of the Harvard-Smithsonian Center for Astrophysics; consult Astronomy Department office."
ASTRON 300 - Topics in Modern Astrophysics,ASTRON 300 , Topics in Modern Astrophysics,"Description:  A seminar, reading, or research course may be arranged with any of the faculty listed. Students can also arrange to obtain Astronomy 300 credit for reading or research with scientific staff members of the Harvard-Smithsonian Center for Astrophysics; consult Astronomy Department office."
ASTRON 300 - Topics in Modern Astrophysics,ASTRON 300 , Topics in Modern Astrophysics,"Description:  A seminar, reading, or research course may be arranged with any of the faculty listed. Students can also arrange to obtain Astronomy 300 credit for reading or research with scientific staff members of the Harvard-Smithsonian Center for Astrophysics; consult Astronomy Department office."
ASTRON 300 - Topics in Modern Astrophysics,ASTRON 300 , Topics in Modern Astrophysics,"Description:  A seminar, reading, or research course may be arranged with any of the faculty listed. Students can also arrange to obtain Astronomy 300 credit for reading or research with scientific staff members of the Harvard-Smithsonian Center for Astrophysics; consult Astronomy Department office."
ASTRON 300 - Topics in Modern Astrophysics,ASTRON 300 , Topics in Modern Astrophysics,"Description:  A seminar, reading, or research course may be arranged with any of the faculty listed. Students can also arrange to obtain Astronomy 300 credit for reading or research with scientific staff members of the Harvard-Smithsonian Center for Astrophysics; consult Astronomy Department office."
